[Mon Jul 20 16:50:04.028337 2015] [core:alert] [pid 6632:tid 139794724517632] [client 127.0.0.1:58808] /home/tuyennt/git/enjin-vn/.htaccess: Invalid command 'RewriteEngine', perhaps misspelled or defined by a module not included in the server configuration
[Tue Jul 21 09:47:51.152814 2015] [:error] [pid 4876] [client 127.0.0.1:53137] PHP Fatal error:  Class 'CI_Form_validation' not found in /home/tuyennt/git/enjin-vn/application/libraries/Enjin_Form.php on line 3, referer: http://enjin.local/check
[Mon Aug 10 14:10:36.335234 2015] [:error] [pid 5437] [client 127.0.0.1:39034] PHP Fatal error:  Call to a member function getScreeningStageId() on null in /home/tuyennt/git/enjin-vn/application/controllers/Histories.php on line 61, referer: http://enjin.local/check
[Mon Aug 10 14:13:21.137393 2015] [:error] [pid 5440] [client 127.0.0.1:39126] PHP Fatal error:  Call to a member function getScreeningStageId() on null in /home/tuyennt/git/enjin-vn/application/controllers/Histories.php on line 62, referer: http://enjin.local/check
[Mon Aug 10 14:13:47.312659 2015] [:error] [pid 5438] [client 127.0.0.1:39137] PHP Fatal error:  Call to a member function getScreeningStageId() on null in /home/tuyennt/git/enjin-vn/application/controllers/Histories.php on line 62, referer: http://enjin.local/check
[Mon Aug 10 14:17:15.799399 2015] [:error] [pid 5440] [client 127.0.0.1:39176] PHP Fatal error:  Call to a member function getScreeningStageId() on null in /home/tuyennt/git/enjin-vn/application/controllers/Histories.php on line 61, referer: http://enjin.local/check
[Mon Aug 10 14:17:30.292406 2015] [:error] [pid 5438] [client 127.0.0.1:39194] PHP Fatal error:  Call to a member function getScreeningStageId() on null in /home/tuyennt/git/enjin-vn/application/controllers/Histories.php on line 61, referer: http://enjin.local/check
[Mon Aug 10 14:19:22.236391 2015] [:error] [pid 14976] [client 127.0.0.1:39197] PHP Fatal error:  Call to a member function getScreeningStageId() on null in /home/tuyennt/git/enjin-vn/application/controllers/Histories.php on line 62, referer: http://enjin.local/check
[Mon Aug 10 14:25:23.398026 2015] [:error] [pid 6230] [client 127.0.0.1:39336] PHP Fatal error:  Call to undefined method CI_DB_mysqli_result::get_compiled_select() in /home/tuyennt/git/enjin-vn/application/models/Histories_model.php on line 34, referer: http://enjin.local/check
[Mon Aug 10 14:27:47.343086 2015] [:error] [pid 6230] [client 127.0.0.1:39362] PHP Fatal error:  Call to undefined method CI_DB_mysqli_result::row_result() in /home/tuyennt/git/enjin-vn/application/models/Histories_model.php on line 34, referer: http://enjin.local/check
[Mon Aug 10 14:31:50.562994 2015] [:error] [pid 5437] [client 127.0.0.1:39398] PHP Fatal error:  Call to undefined method Histories_model::getRecCompanyId() in /home/tuyennt/git/enjin-vn/application/models/Histories_model.php on line 30, referer: http://enjin.local/check
[Mon Aug 10 14:52:28.084854 2015] [:error] [pid 14975] [client 127.0.0.1:39646] PHP Fatal error:  Call to a member function getScreeningStageId() on null in /home/tuyennt/git/enjin-vn/application/controllers/Histories.php on line 62, referer: http://enjin.local/check
[Mon Aug 10 15:25:59.789824 2015] [:error] [pid 5437] [client 127.0.0.1:40085] PHP Fatal error:  Call to a member function getScreeningStageId() on null in /home/tuyennt/git/enjin-vn/application/controllers/SelHistories.php on line 55, referer: http://enjin.local/check
[Mon Aug 10 15:40:56.395590 2015] [:error] [pid 5438] [client 127.0.0.1:40149] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 15:43:25.602862 2015] [:error] [pid 6230] [client 127.0.0.1:40176] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 15:51:08.070965 2015] [:error] [pid 14975] [client 127.0.0.1:40226] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 15:52:32.485780 2015] [:error] [pid 14976] [client 127.0.0.1:40244] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 15:54:06.767647 2015] [:error] [pid 5436] [client 127.0.0.1:40285] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 15:54:36.427293 2015] [:error] [pid 6233] [client 127.0.0.1:40301] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 15:59:38.007075 2015] [:error] [pid 14975] [client 127.0.0.1:40349] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 16:01:23.432304 2015] [:error] [pid 14974] [client 127.0.0.1:40410] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 16:25:11.708005 2015] [:error] [pid 14974] [client 127.0.0.1:40620] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 16:27:34.836069 2015] [:error] [pid 6233] [client 127.0.0.1:40658] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 16:35:34.482424 2015] [:error] [pid 14975] [client 127.0.0.1:40809] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Mon Aug 10 16:43:54.633366 2015] [:error] [pid 5439] [client 127.0.0.1:40899] PHP Fatal error:  Call to undefined method CI_Loader::mode() in /home/tuyennt/git/enjin-vn/application/controllers/SelHistories.php on line 56, referer: http://enjin.local/check
[Mon Aug 10 16:44:50.911833 2015] [:error] [pid 14974] [client 127.0.0.1:40910] PHP Fatal error:  Call to undefined method CI_Loader::mode() in /home/tuyennt/git/enjin-vn/application/controllers/SelHistories.php on line 56, referer: http://enjin.local/check
[Mon Aug 10 16:45:27.982770 2015] [:error] [pid 5438] [client 127.0.0.1:40921] PHP Fatal error:  Class 'Rec_departments_model' not found in /home/tuyennt/git/enjin-vn/system/core/Loader.php on line 305, referer: http://enjin.local/check
[Mon Aug 10 17:01:55.200198 2015] [:error] [pid 14976] [client 127.0.0.1:41144] PHP Fatal error:  Call to undefined method Sel_histories_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 34, referer: http://enjin.local/check
[Mon Aug 10 17:02:12.758508 2015] [:error] [pid 5436] [client 127.0.0.1:41157] PHP Fatal error:  Call to undefined method Sel_histories_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 34, referer: http://enjin.local/check
[Mon Aug 10 17:02:41.453551 2015] [:error] [pid 14975] [client 127.0.0.1:41170] PHP Fatal error:  Call to undefined method Sel_histories_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 34, referer: http://enjin.local/check
[Mon Aug 10 17:02:48.911818 2015] [:error] [pid 5438] [client 127.0.0.1:41171] PHP Fatal error:  Call to undefined method Sel_histories_model::setCanCandidateId() in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 34, referer: http://enjin.local/check
[Tue Aug 11 12:15:55.241745 2015] [:error] [pid 3918] [client 127.0.0.1:34317] PHP Fatal error:  Cannot use isset() on the result of a function call (you can use "null !== func()" instead) in /home/tuyennt/git/enjin-vn/application/controllers/CRU_Master.php on line 165, referer: http://enjin.local/check
[Mon Aug 24 09:42:19.432621 2015] [:error] [pid 4945] [client 127.0.0.1:54703] PHP Fatal error:  Call to undefined method Events_model::getRecCompanyId() in /home/tuyennt/git/enjin-vn/application/models/Events_model.php on line 72, referer: http://enjin.local/check
[Mon Aug 24 15:50:48.301823 2015] [:error] [pid 11098] [client 127.0.0.1:59349] PHP Fatal error:  Call to a member function getSelectStringFromLabelMap() on null in /home/tuyennt/git/enjin-vn/application/models/Jobvotes_model.php on line 85, referer: http://enjin.local/check
[Mon Aug 24 15:52:56.956048 2015] [:error] [pid 4933] [client 127.0.0.1:59358] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::orWhere() in /home/tuyennt/git/enjin-vn/application/core/Enjin_Model.php on line 175, referer: http://enjin.local/check
[Mon Aug 24 16:21:24.862174 2015] [:error] [pid 13775] [client 127.0.0.1:59511] PHP Parse error:  syntax error, unexpected ')' in /home/tuyennt/git/enjin-vn/application/models/Jobvotes_model.php on line 72, referer: http://enjin.local/check
[Mon Aug 24 17:31:33.379032 2015] [:error] [pid 17308] [client 127.0.0.1:33198] PHP Parse error:  syntax error, unexpected '=' in /home/tuyennt/git/enjin-vn/application/models/Jobvotes_model.php on line 93, referer: http://enjin.local/check
[Tue Aug 25 12:58:10.130759 2015] [:error] [pid 4873] [client 127.0.0.1:57291] PHP Fatal error:  Call to a member function byId() on null in /home/tuyennt/git/enjin-vn/application/controllers/CanCandidates.php on line 119, referer: http://enjin.local/check
[Tue Aug 25 13:59:04.426409 2015] [:error] [pid 6133] [client 127.0.0.1:57710] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 13:59:32.355530 2015] [:error] [pid 5536] [client 127.0.0.1:57720] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:11:10.950211 2015] [:error] [pid 4872] [client 127.0.0.1:58034] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:13:06.639388 2015] [:error] [pid 5535] [client 127.0.0.1:58056] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:15:24.903945 2015] [:error] [pid 5530] [client 127.0.0.1:58090] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:23:42.375276 2015] [:error] [pid 6133] [client 127.0.0.1:58130] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:25:17.475511 2015] [:error] [pid 5535] [client 127.0.0.1:58132] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:26:00.797996 2015] [:error] [pid 5536] [client 127.0.0.1:58137] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:26:01.407787 2015] [:error] [pid 4876] [client 127.0.0.1:58138] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:26:01.734141 2015] [:error] [pid 5100] [client 127.0.0.1:58139] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:26:58.941837 2015] [:error] [pid 4873] [client 127.0.0.1:58165] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:26:59.523118 2015] [:error] [pid 5530] [client 127.0.0.1:58166] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:26:59.777018 2015] [:error] [pid 4872] [client 127.0.0.1:58167] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
[Tue Aug 25 14:26:59.991784 2015] [:error] [pid 4875] [client 127.0.0.1:58169] PHP Fatal error:  Cannot redeclare class Can_model in /home/tuyennt/git/enjin-vn/application/models/Can_model.php on line 0, referer: http://enjin.local/check
